CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,17597.44347826087,1176.791304347826,160.7826086956522,703.991304347826,5866.643478260869,377.4,245.2608695652174,331.2782608695652,6816.017391304348,704.2695652173913,201.77391304347827,853.1478260869566,1768.3304347826088,257.2260869565217,115,12.375868275011962,11.823116704081988,0.29552068824455185,0.9663865546218487,0.7986111111111112,-1.10479707087978
2,18031.08695652174,1125.2826086956522,176.93478260869566,792.8260869565217,11817.923913043478,910.304347826087,422.3478260869565,646.9239130434783,13424.717391304348,1027.8369565217392,387.5,902.4891304347826,1107.1739130434783,665.8695652173913,92,11.874070380175334,9.982064580394784,0.5415621388829985,0.9484536082474226,0.696969696969697,-0.4352897756864946
3,8402.59677419355,1249.532258064516,156.9516129032258,816.2258064516129,5040.790322580645,1046.1774193548388,487.85483870967744,601.7903225806451,5557.935483870968,1327.274193548387,289.0806451612903,940.2096774193549,1116.2903225806451,671.3387096774194,62,9.995049357501177,8.673948688095681,0.49687084962084527,0.8378378378378378,0.5636363636363636,1.3559950921271013
4,22322.404411764706,1156.6838235294117,187.3308823529412,853.25,13716.878676470587,816.9558823529412,2187.9117647058824,376.19485294117646,15479.35661764706,1027.5330882352941,309.7132352941176,892.3345588235294,982.8455882352941,676.9963235294117,272,25.56607716565072,15.136434232228124,0.805900134079582,0.8343558282208589,0.5375494071146245,-0.7097654249292218
5,8101.017199017199,1570.6289926289926,163.009828009828,318.02702702702703,4959.896805896806,826.9631449631449,361.7714987714988,366.0884520884521,5628.589680589681,1326.7469287469287,268.97542997542996,896.8722358722358,1141.1351351351352,680.1400491400491,407,26.723556676190096,19.630425935790086,0.6785287449039918,0.9334862385321101,0.7078260869565217,-0.7196006707228081
6,14830.83193277311,943.8403361344538,131.6638655462185,310.5546218487395,2526.0252100840335,356.78991596638656,203.5546218487395,317.3781512605042,2882.81512605042,606.7731092436975,166.0420168067227,820.1176470588235,1325.126050420168,674.436974789916,119,13.380833092615108,11.341760514976743,0.5306158315247589,0.9296875,0.7628205128205128,1.2623651324379734
7,14148.227722772277,1475.3267326732673,451.65346534653463,499.76237623762376,8729.138613861385,1376.09900990099,1539.0594059405942,408.58415841584156,9970.435643564357,1166.09900990099,346.44554455445547,917.8910891089109,969.2673267326733,674.8118811881188,101,13.065676174552255,10.034310174728553,0.6404616929232778,0.9099099099099099,0.7062937062937062,-0.8929566649497236
8,19023.666666666668,993.9479166666666,153.59375,574.40625,10554.447916666666,629.6979166666666,865.6979166666666,353.6875,11350.114583333334,881.2916666666666,260.65625,865.0208333333334,1003.0833333333334,674.3541666666666,96,13.819613067494846,9.286203338421112,0.7405890078600542,0.9056603773584906,0.64,-1.4538464225345498
9,12208.204081632653,1417.4795918367347,181.64285714285714,399.11224489795916,7596.714285714285,1068.530612244898,854.7244897959183,392.35714285714283,8520.19387755102,1102.2244897959183,330.01020408163265,906.3979591836735,1058.1632653061224,674.1734693877551,98,15.167680681356838,8.45955790656641,0.8300185675245425,0.8909090909090909,0.6533333333333333,-1.131333994743365
10,7922.267605633803,1553.718309859155,171.80281690140845,306.7323943661972,4835.570422535211,887.7394366197183,391.3098591549296,373.30281690140845,5340.274647887324,2828.1830985915494,288.6830985915493,905.5633802816901,1201.0492957746478,675.1056338028169,142,19.614425567221538,10.80234674992875,0.8346802858681265,0.8658536585365854,0.5634920634920635,-1.298723798866297
